condition,condition_id,conversation_id,from,to,from_turn,to_turn,from_slot,to_slot,pair_type,adjacent_distance,x,y,xend,yend
AI-AI,ai-ai,conv_deb05265bec84343b09557454f80ce9a,591,592,8.0,8.0,author_1,author_2,within_exchange,0.3071986118524066,0.15184445803692034,-0.046136875704363374,0.05385805369637325,0.17642651206447624
AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,64,65,5.0,6.0,author_2,author_1,between_exchange,0.2951023544813538,0.07045079160251126,-0.06895508302354815,0.3426141749916618,-0.052170327115904636
AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,116,117,4.0,5.0,author_2,author_1,between_exchange,0.2751941701300985,0.24091008906653252,-0.1164951520667556,0.3863392439138491,-0.08118360363862706
AI-AI,ai-ai,conv_bd42668068fc4f41a9b41e52a30aa976,452,453,1.0,2.0,author_2,author_1,between_exchange,0.4366734076580908,-0.16586222494729347,0.2047908138083172,0.016205687959152698,0.0247441020978545
AI-AI,ai-ai,conv_628470d6e6cb42949e29a2c7866a28ab,303,304,8.0,8.0,author_1,author_2,within_exchange,0.25559712409578905,0.1608090962740169,0.08848900777309376,0.011136437970521525,0.09585450987794109
AI-AI,ai-ai,conv_deb05265bec84343b09557454f80ce9a,583,584,4.0,4.0,author_1,author_2,within_exchange,0.27746742989753503,0.02773121125036908,0.056179849785849084,-0.06891848168651687,0.06624062177133269
AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,12,13,6.0,7.0,author_2,author_1,between_exchange,0.3507713035929483,0.10928700268310648,0.12215086190700952,0.19143099432992647,0.07457679997742529
AI-AI,ai-ai,conv_a5f55403da744ff0b966103e3911c44e,405,406,5.0,5.0,author_2,author_1,within_exchange,0.2969899916826294,0.2510697897678906,0.0899382390164686,0.2171576156458097,0.07139184321621744
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,88,89,8.0,9.0,author_1,author_2,between_exchange,0.2525951913955995,0.1451474022926187,0.12576685667962956,0.03264738804705408,-0.035772225743991005
AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,96,97,3.0,4.0,author_1,author_2,between_exchange,0.2036601115353983,0.05422012959957587,0.1383572849194519,0.02379483238418672,0.1568414942732546
AI-AI,ai-ai,conv_628470d6e6cb42949e29a2c7866a28ab,298,299,5.0,6.0,author_2,author_1,between_exchange,0.32080842946404986,0.14598094072696965,0.031220805233666604,0.14682999286535403,0.05931147378458833
AI-AI,ai-ai,conv_d6905a1ca5714753a29b07b1344d1eb0,573,574,8.0,8.0,author_2,author_1,within_exchange,0.2697615848774365,0.1152919344999705,0.0879966476300371,0.09979918575304055,0.0918798490286028
AI-AI,ai-ai,conv_d6905a1ca5714753a29b07b1344d1eb0,562,563,2.0,3.0,author_1,author_2,between_exchange,0.25804714748760094,0.06499872415504292,0.13825552618893006,0.0249307083301244,0.1284327859746521
AI-AI,ai-ai,conv_d6905a1ca5714753a29b07b1344d1eb0,561,562,2.0,2.0,author_2,author_1,within_exchange,0.2087683546855088,-0.039461780607643465,0.14612943159235198,0.06499872415504292,0.13825552618893006
AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,125,126,9.0,9.0,author_1,author_2,within_exchange,0.25671847304249173,0.1705014217418902,0.04287442008482791,0.13379199900225883,0.11348880289134927
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,84,85,6.0,7.0,author_1,author_2,between_exchange,0.25620421221681455,-0.01118220234626139,0.07472622716417711,0.06483364377934098,0.034267720765934685
AI-AI,ai-ai,conv_0388f204ccd644f39221d0d8afff6d09,25,26,4.0,4.0,author_2,author_1,within_exchange,0.35260863252193364,-0.0714962297978495,0.18329102145663229,0.003448293100006364,0.1295833274591281
AI-AI,ai-ai,conv_e9176cbc9fc84bf693d4722a41d4d02b,595,596,1.0,1.0,author_1,author_2,within_exchange,0.47480962285160644,0.12986661403912209,-0.1656778541828784,0.005023375598906811,0.06599010388859845
AI-AI,ai-ai,conv_628470d6e6cb42949e29a2c7866a28ab,304,305,8.0,9.0,author_2,author_1,between_exchange,0.2765407987333276,0.011136437970521525,0.09585450987794109,0.2630368471034242,0.07579406772145983
AI-AI,ai-ai,conv_7a911b33d930428b9119a670406e96b1,341,342,9.0,9.0,author_1,author_2,within_exchange,0.31492333443552867,0.09035663184643167,0.15431459718401108,-0.0801788843733901,0.03897454964054564
