turn_node_id,condition,condition_id,conversation_id,sequence_index,turn_index,slot,x,y
97,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,7,4.0,author_2,0.02379483238418672,0.1568414942732546
98,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,8,4.0,author_1,0.10919166538828955,0.15813271389845268
99,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,9,5.0,author_2,0.023844491686222817,0.17101002624411377
100,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,10,5.0,author_1,0.08298965083916379,0.2211742688466921
101,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,11,6.0,author_2,0.04970341773102713,0.1889506912109224
102,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,12,6.0,author_1,0.04856187191511124,0.2333316336781955
103,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,13,7.0,author_2,0.15593858653364875,0.04849086625379769
104,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,14,7.0,author_1,0.19070279456093708,0.06347495268430778
105,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,15,8.0,author_2,0.1219738601172439,0.06557506549734178
106,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,16,8.0,author_1,0.19345381852547985,-0.03829771948804758
107,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,17,9.0,author_2,0.04304392316752163,0.13407767285701078
108,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,18,9.0,author_1,0.21002307966656428,0.0448257333340699
110,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,2,1.0,author_2,0.2969484095309352,-0.008462090232515951
111,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,3,2.0,author_1,0.2467540179146515,-0.0023608772816884104
112,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,4,2.0,author_2,0.25937485400915733,0.10507207299005403
114,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,6,3.0,author_2,0.13959532119340162,0.1526986855089773
115,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,7,4.0,author_1,0.20006602866662593,-0.03230843884586587
116,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,8,4.0,author_2,0.24091008906653252,-0.1164951520667556
117,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,9,5.0,author_1,0.3863392439138491,-0.08118360363862706
118,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,10,5.0,author_2,0.043844807573186484,-0.08169741066894241
119,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,11,6.0,author_1,0.2075582964985055,0.024637712868750695
120,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,12,6.0,author_2,0.11859246301220161,-0.11544360232587075
121,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,13,7.0,author_1,0.0978572125838021,-0.02645549905468615
122,AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,14,7.0,author_2,0.3036809897337422,-0.004459706416420733
