s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;;;;;;;;;;;;;1;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;45;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;3;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
